;eval-saturation_linear_1-linear_2
0;0.0
1;0.0
2;0.0
3;0.0
4;0.0
5;0.0
6;0.0
7;0.0
8;0.0
9;0.0
10;0.0
11;0.0
12;0.0
13;0.0
14;0.0
15;0.0
16;0.0
17;0.0
18;0.0
19;0.0
20;0.0
21;0.0
22;0.0
23;0.0
24;0.0
25;0.0
26;0.0
27;0.0
28;0.0
29;0.0
30;0.0
31;0.0
32;0.0
33;0.5
34;0.5
35;0.5
36;1.0
37;1.0
38;1.0
39;1.0
40;1.0
41;1.0
42;1.0
43;1.0
44;1.0
45;1.0
46;1.0
47;1.0
48;1.0
49;1.0
50;1.0
51;1.0
52;1.0
53;1.0
54;1.0
55;1.0
56;1.0
57;1.0
58;1.0
59;1.0
60;1.0
61;1.0
62;1.0
63;0.5
64;0.5
65;0.5
66;0.5
67;0.5
68;0.5
69;0.5
70;0.5
71;0.5
72;0.5
73;0.5
74;0.5
75;0.5
76;0.5
77;0.5
78;0.5
79;0.5
80;0.5
81;0.5
82;0.5
83;0.5
84;0.5
85;0.5
86;0.5
87;0.5
88;0.5
89;0.5
90;0.5
91;0.5
92;0.5
93;0.5
94;0.5
95;0.5
96;0.0
