;eval-saturation_linear_1-linear_2
0;0.5
1;0.5
2;0.5
3;0.5
4;0.5
5;0.5
6;0.5
7;0.5
8;0.5
9;0.5
10;0.5
11;0.5
12;1.0
13;1.0
14;1.0
15;1.0
16;1.0
17;1.0
18;1.0
19;1.0
20;1.0
21;1.0
22;1.0
23;1.0
24;1.0
25;1.0
26;1.0
27;1.0
28;1.0
29;1.0
30;1.0
31;1.0
32;1.0
33;1.0
34;1.0
35;1.0
36;1.0
37;1.0
38;1.0
39;1.5
40;1.5
41;1.5
42;1.5
43;1.5
44;1.5
45;1.5
46;1.5
47;1.5
48;1.5
49;1.5
50;1.5
51;1.5
52;1.5
53;1.5
54;1.5
55;1.5
56;2.0
57;2.0
58;2.0
59;2.0
60;2.0
61;2.0
62;2.0
63;2.0
64;2.0
65;2.0
66;2.0
67;2.0
68;2.0
69;2.0
70;2.0
71;2.0
72;2.0
73;2.0
74;2.5
75;2.5
76;2.5
77;2.5
78;2.5
79;2.5
80;2.5
81;2.5
82;2.5
83;2.5
84;2.5
85;2.5
86;2.5
87;2.5
88;2.5
89;2.5
90;2.5
91;2.5
92;2.5
93;2.5
94;2.5
95;2.5
96;2.5
97;2.5
98;2.5
99;2.5
